Blocks,Elements per thread,CGMA,Threads per block,Latency,Energy,Power
24,20,1000,512,3.094137,86.156842,27.85
25,19,1000,512,4.124567,96.471782,23.39
26,18,1000,512,4.109396,97.215519,23.66
28,17,1000,512,3.776925,96.800847,25.63
30,16,1000,512,3.521689,96.365965,27.36
32,15,1000,512,3.328908,95.220989,28.60
34,14,1000,512,4.395074,103.010160,23.44
36,13,1000,512,4.018843,99.606443,24.78
40,12,1000,512,4.073032,102.095089,25.07
43,11,1000,512,4.089015,105.664792,25.84
48,10,1000,512,4.502243,114.134412,25.35
53,9,1000,512,4.141295,112.047476,27.06
60,8,1000,512,4.212561,115.431304,27.40
68,7,1000,512,4.923395,127.900680,25.98
80,6,1000,512,5.149760,136.271085,26.46
96,5,1000,512,4.857981,137.943467,28.40
120,4,1000,512,5.116922,148.639349,29.05
160,3,1000,512,5.370318,161.513905,30.08
240,2,1000,512,8.161414,218.828200,26.81
