Latency,Energy,Power
0.002553,0.117280,45.95
0.002532,0.119240,47.09
0.002584,0.123030,47.60
0.002579,0.123610,47.93
0.002591,0.125410,48.40
0.002605,0.127250,48.85
0.002597,0.128070,49.31
0.002622,0.128110,48.85
0.002601,0.130570,50.20
0.002587,0.131140,50.68
0.002596,0.132540,51.05
0.002593,0.133610,51.52
0.002602,0.135050,51.91
0.002591,0.135780,52.41
0.002644,0.135680,51.31
0.002590,0.138100,53.31
0.002592,0.139320,53.75
0.002588,0.140360,54.23
0.002598,0.141830,54.59
0.002598,0.142890,55.00
0.002610,0.144620,55.40
0.002602,0.145400,55.87
0.002601,0.146380,56.28
0.002605,0.147930,56.78
0.002654,0.148120,55.82
0.002595,0.149920,57.78
0.002601,0.151320,58.17
0.002607,0.152520,58.51
0.002612,0.154200,59.04
0.002606,0.154840,59.42
0.002607,0.156090,59.86
0.002596,0.156570,60.30
0.002608,0.158150,60.64
0.002652,0.158860,59.91
0.002604,0.161600,62.06
0.002598,0.161190,62.04
0.002612,0.163290,62.51
0.002610,0.164240,62.93
0.002603,0.165100,63.42
0.002619,0.166840,63.70
0.002634,0.168580,64.01
0.002651,0.168250,63.48
0.002640,0.171810,65.08
0.002632,0.172120,65.40
0.002630,0.173060,65.81
0.002642,0.171840,65.05
0.002623,0.175220,66.80
0.002622,0.176070,67.14
0.002654,0.175530,66.14
0.002630,0.178860,68.00
0.002658,0.177560,66.80
0.002627,0.180950,68.88
0.002675,0.180460,67.46
0.002631,0.183440,69.73
0.002663,0.182750,68.64
0.002645,0.186450,70.49
0.002663,0.184930,69.46
0.002642,0.189560,71.75
0.002646,0.190220,71.88
0.002698,0.188660,69.93
0.002663,0.194350,72.99
0.002688,0.195610,72.76
0.002709,0.193750,71.53
0.002763,0.197520,71.49
0.002704,0.196070,72.52
0.002733,0.200710,73.44
0.002750,0.202380,73.59
0.002758,0.203890,73.92
0.002733,0.203900,74.61
0.002755,0.207760,75.41
0.002739,0.211340,77.17
0.002728,0.212440,77.89
0.002763,0.214900,77.78
0.002768,0.216370,78.16
0.002761,0.216770,78.52
0.002757,0.218300,79.18
0.002774,0.215320,77.61
0.002772,0.217560,78.48
0.002743,0.221850,80.88
0.002753,0.223600,81.21
